username,total,easy,medium,hard,rating,C++,Java,Python,Python3,C,C#,JavaScript,TypeScript,PHP,Swift,Kotlin,Dart,Go,Ruby,Scala,Rust,Racket,Erlang,Elixir,MySQL,MS SQL Server,Oracle,Pandas,PostgreSQL,ranking,Array,String,Hash Table,Math,Dynamic Programming,Sorting,Greedy,Depth-First Search,Binary Search,Database,Breadth-First Search,Tree,Matrix,Two Pointers,Bit Manipulation,Binary Tree,Heap (Priority Queue),Stack,Prefix Sum,Simulation,Graph,Design,Counting,Sliding Window,Backtracking,Union Find,Enumeration,Linked List,Ordered Set,Monotonic Stack,Trie,Number Theory,Divide and Conquer,Recursion,Bitmask,Queue,Binary Search Tree,Segment Tree,Memoization,Hash Function,Geometry,Binary Indexed Tree,Topological Sort,String Matching,Combinatorics,Rolling Hash,Shortest Path,Game Theory,Data Stream,Interactive,Brainteaser,Monotonic Queue,Randomized,Merge Sort,Iterator,Concurrency,Doubly-Linked List,Probability and Statistics,Quickselect,Bucket Sort,Suffix Array,Minimum Spanning Tree,Counting Sort,Shell,Line Sweep,Reservoir Sampling,Strongly Connected Component,Eulerian Circuit,Radix Sort,Rejection Sampling,Biconnected Component,contestAttended,streak,totalActiveDays,contest_LastYear,contest_6months,contest_1month,last1monthActiveDays,last6monthActiveDays,OurRating
prashant93y,711,226,416,69,1621.98470761848,3,39,0,133,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,98943,381,153,157,105,118,114,70,102,58,6,81,86,48,67,36,77,0,38,0,31,31,36,0,29,26,19,8,41,6,12,12,0,14,16,2,14,0,5,0,0,0,4,7,0,0,1,2,7,8,0,4,3,3,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,29,55,266,9,4,2,28,138,86
Prashant06,139,85,51,3,0,1,7,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,56,21,25,22,11,15,2,16,18,12,13,18,7,17,19,18,0,6,0,5,2,1,0,1,5,1,0,11,0,0,2,0,7,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Prashant-07,402,128,222,52,1575.238,1,1,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,131264,202,95,84,38,66,47,34,48,37,16,42,41,33,45,23,40,0,31,0,8,16,13,0,21,17,14,10,27,3,12,9,0,13,14,2,4,0,3,0,0,0,3,4,0,0,8,4,0,3,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,35,180,12,12,0,28,154,71
prashantkumarsingh9423,345,136,196,13,1608.901,368,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,106825,170,84,68,49,51,45,24,45,24,2,37,43,25,49,19,39,0,27,0,15,13,15,0,6,14,9,1,28,0,8,4,0,11,9,0,5,0,0,0,0,0,2,2,0,0,1,2,1,5,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,5,18,0,0,0,0,9,51
prashant_00,343,93,207,43,1622.541,340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,98620,168,82,64,46,73,39,32,40,27,2,35,30,26,43,20,26,0,26,0,13,19,12,0,10,23,10,2,23,5,6,8,0,10,14,0,5,0,4,0,0,0,3,4,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,1,3,0,0,0,0,3,45
Prashant-Yadav,61,43,18,0,0,59,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,13,17,5,9,2,3,5,0,3,5,2,13,5,5,0,4,0,2,0,1,0,1,0,0,1,9,0,0,1,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
prashantkr,579,228,301,50,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,236,98,90,63,67,57,27,60,51,129,47,56,34,58,27,53,0,32,0,16,11,28,0,21,20,11,2,33,3,10,8,0,17,20,0,12,0,2,0,0,0,2,3,0,0,0,0,1,6,0,0,5,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,91,0,0,0,19,43,1
prashant_sriv,520,159,307,54,1498.38698379598,168,353,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219789,284,132,115,58,97,70,67,60,40,0,49,53,41,60,33,50,0,33,0,18,18,14,0,24,25,12,8,27,6,10,5,0,13,16,2,6,0,4,0,0,0,3,6,0,0,3,2,2,2,0,3,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,9,103,7,4,1,1,48,68
sainyamangral18,281,94,154,33,1441.639,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,336741,159,57,61,40,49,42,30,20,37,4,10,23,14,42,15,22,0,20,0,10,6,8,0,13,10,4,2,15,3,8,4,0,9,11,1,4,0,1,0,0,0,1,1,0,0,0,1,2,2,0,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,55,136,3,0,0,0,41,50
abhaybhat86,391,90,263,38,1295.899,391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503182,232,78,80,42,87,69,54,57,49,0,43,45,32,33,14,43,0,16,0,12,13,5,0,27,22,12,5,14,1,3,2,0,6,10,1,5,0,1,0,0,0,2,5,0,0,1,3,2,0,0,2,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,127,318,4,2,0,30,155,71
officialaadeesh76,182,104,74,4,1435.591,113,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,351383,114,22,33,20,11,27,10,10,26,10,2,13,14,34,7,13,0,17,0,12,0,4,0,3,11,1,0,17,0,4,1,0,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,31,0,0,0,0,9,17
sunandangupta,204,73,110,21,1654.018,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,82313,91,33,32,20,34,20,18,28,27,36,22,29,10,14,8,25,0,7,0,4,7,2,0,5,4,4,2,5,0,1,0,0,6,5,0,2,0,1,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,6,53,5,0,0,1,8,45
piyushag,1189,347,730,112,2171.86442429742,1147,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6152,682,300,261,202,180,171,135,123,107,0,95,101,88,102,76,85,0,63,0,75,39,42,0,45,43,26,32,51,14,20,17,0,25,22,7,18,0,10,0,0,0,7,6,0,0,9,8,9,4,0,8,7,6,0,3,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,12,204,218,12,11,0,30,180,87
Sithis,824,253,487,84,0,12,818,1,8,0,1,2,0,0,0,3,0,17,0,0,0,0,0,0,1,0,0,0,0,0,445,210,179,106,113,122,81,123,68,1,85,103,54,90,50,93,0,61,0,34,29,34,0,41,31,21,7,40,9,21,21,0,20,19,5,13,0,6,0,0,0,4,6,0,0,4,4,5,7,0,4,4,6,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,36,94,0,0,0,14,80,50
akki4497,89,33,50,6,0,0,89,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,18,12,14,15,9,19,5,0,13,10,6,19,5,10,0,9,0,2,6,5,0,3,3,4,1,13,1,2,0,0,1,7,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,6,40,26
shubhi17195,385,107,233,45,0,368,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,94,77,41,74,55,42,60,29,0,48,57,29,44,23,53,0,27,0,16,17,16,0,18,20,11,2,28,2,7,8,0,16,17,2,4,0,3,0,0,0,2,1,0,0,2,1,0,3,0,1,0,3,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,50,51,0,0,0,1,51,38
vivekthedev,287,116,152,19,1462.369,0,0,0,280,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,287679,136,65,59,33,43,39,23,36,18,0,29,36,20,38,13,36,0,17,0,11,8,7,0,12,10,5,1,24,0,2,5,0,12,11,0,5,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,71,146,1,1,0,29,141,72
MarkSPhilip31,572,171,299,102,1551.275,431,183,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,153100,315,137,130,81,99,93,67,65,49,8,53,53,40,60,40,37,0,33,0,20,35,17,0,28,16,17,14,20,11,14,9,0,15,10,0,10,0,7,0,0,0,6,6,0,0,2,6,2,3,0,2,5,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,16,224,250,16,8,0,30,180,83
anwendeng,828,236,432,160,0,796,4,6,161,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,440,175,159,136,167,115,85,83,72,30,72,66,57,69,57,57,0,49,0,34,42,25,0,38,29,28,17,42,7,15,14,0,22,22,8,11,0,2,0,0,0,3,8,0,0,7,6,5,5,0,3,5,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,366,366,0,0,0,30,180,70
lancertech6,122,40,60,22,0,93,114,75,15,1,2,91,0,0,8,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,71,33,26,20,27,26,12,13,10,0,6,12,7,6,9,11,0,10,0,8,5,4,0,4,2,2,1,1,3,4,1,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,114,0,0,0,0,99,43
Spaulding_,2743,756,1559,428,0,0,0,4,2457,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,64,0,0,265,0,0,1436,617,541,451,381,361,322,263,220,260,203,211,197,182,161,172,0,127,0,141,96,102,0,107,86,65,64,72,39,44,37,0,41,43,21,35,0,24,0,0,0,25,22,0,0,16,14,21,15,0,16,11,11,0,8,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,354,365,0,0,0,30,180,75
heroes3001,291,105,156,30,0,13,202,0,108,20,0,16,34,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,134,61,57,49,40,31,13,43,26,5,31,48,23,36,24,48,0,21,0,10,3,14,0,8,17,4,1,19,4,4,3,0,14,13,2,5,0,3,0,0,0,1,2,0,0,0,0,1,2,0,2,1,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,0,0,0,25,44
user0517qU,291,136,123,32,1511.589,0,10,2,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,199674,147,66,62,50,44,52,21,17,23,19,11,16,14,33,19,15,0,15,0,16,7,7,0,11,5,4,6,13,2,3,1,0,7,10,0,5,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,155,195,2,2,0,30,179,59
abdelazizSalah,343,136,165,42,0,275,1,15,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,164,79,67,48,59,52,30,37,21,10,28,23,27,31,22,23,0,17,0,12,13,9,0,11,17,12,1,15,1,5,4,0,9,13,1,3,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,156,260,0,0,0,30,173,55
Khosiyat,466,170,187,109,1512.63789126748,0,1,314,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,71,0,198192,227,84,80,48,77,68,40,48,31,71,37,33,44,41,18,32,0,26,0,20,26,15,0,18,12,14,2,22,8,10,4,0,9,13,1,10,0,5,0,0,0,6,5,0,0,1,5,2,3,0,2,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,203,236,2,2,1,30,180,44
adwxith,177,135,38,4,0,0,0,0,0,0,0,169,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,87,50,48,31,9,30,13,5,11,3,2,8,4,25,5,8,0,12,0,8,1,4,0,5,1,0,2,15,0,2,0,0,2,10,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,132,0,0,0,24,104,38
Aman_Raj_Sinha,500,168,255,77,1423.28810474275,0,275,0,0,0,282,31,0,0,0,0,0,0,0,0,0,0,0,0,76,2,0,0,0,377862,228,83,81,49,94,65,39,37,43,77,34,25,37,40,25,23,0,25,0,17,22,16,0,22,11,14,2,22,4,8,4,0,7,13,4,8,0,1,0,0,0,2,6,0,0,0,4,5,1,0,1,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,104,340,2,1,1,30,177,70
withaarzoo,645,180,353,112,0,530,22,3,32,0,1,138,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,316,136,122,72,130,88,63,84,58,0,75,66,48,55,36,55,0,35,0,25,42,25,0,27,25,27,3,35,7,8,9,0,15,19,4,10,0,3,0,0,0,3,8,0,0,1,4,5,4,0,2,4,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,56,346,0,0,0,30,174,69
azad786,549,169,318,62,1581.1882334332,548,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126426,291,117,107,74,86,85,56,83,44,0,67,68,39,56,29,66,0,33,0,19,29,15,0,19,19,21,9,37,3,11,4,0,18,19,4,5,0,3,0,0,0,4,5,0,0,6,7,3,3,0,2,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,161,352,33,20,4,30,178,80
mjgallag,1216,366,669,181,1766.183,1,0,187,1129,0,0,2,0,0,0,0,0,19,0,16,147,0,0,0,36,0,0,33,0,44508,646,281,235,175,203,166,120,151,119,51,122,117,92,105,73,103,0,72,0,54,58,53,0,46,46,40,13,49,17,22,19,0,25,20,10,19,0,10,0,0,0,8,15,0,0,4,8,11,10,0,4,6,6,0,4,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,39,366,366,0,0,0,30,180,65
noy25,111,64,40,7,0,0,22,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,50,21,17,19,26,14,4,5,5,11,5,6,8,10,9,6,0,2,0,5,0,1,0,1,1,0,0,13,1,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,43,0,0,0,3,43,26
Apophis29,170,67,90,13,0,10,146,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35,40,18,15,25,14,18,7,0,17,15,10,30,8,15,0,13,0,7,7,4,0,11,4,4,1,12,0,2,0,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,90,0,0,0,30,86,42
Vivekkrsk,558,141,316,101,0,501,1,16,42,0,0,31,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,279,98,105,59,116,72,41,85,52,5,66,77,41,47,34,75,0,36,0,21,29,26,0,23,24,20,2,36,7,12,8,0,16,15,4,11,0,3,0,0,0,4,7,0,0,0,5,5,2,0,3,4,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,93,318,0,0,0,0,134,65
Ahmad_Ouda,128,52,63,13,1529.549,117,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,176654,57,25,35,13,17,23,10,15,6,8,13,14,5,18,8,14,0,9,0,2,3,2,0,7,2,2,2,17,0,2,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,94,1,1,0,28,94,32
Motaharozzaman1996,2043,615,1108,320,1387.262,4,0,2,1931,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,1,0,451968,1104,495,416,350,315,280,252,197,169,63,164,150,144,143,129,126,0,107,0,117,78,77,0,79,71,52,43,58,35,36,25,0,37,34,20,27,0,20,0,0,0,16,19,0,0,7,11,16,10,0,14,8,11,0,5,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,11,366,366,1,0,0,30,180,87
judgementdey,513,211,274,28,1725.806,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,55125,249,125,112,75,67,61,52,84,35,4,65,73,42,44,23,62,0,25,0,31,25,23,0,11,17,14,3,34,4,1,5,0,13,12,3,6,0,2,0,0,0,1,4,0,0,0,3,0,2,0,1,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,25,196,11,0,0,12,96,71
anushriphate,390,194,170,26,1488.21,77,350,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236856,221,84,79,65,56,69,32,32,34,0,21,37,23,50,22,37,0,21,0,21,4,9,0,13,6,3,3,23,2,5,2,0,10,13,0,5,0,1,0,0,0,1,0,0,0,0,2,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,159,240,1,1,0,24,165,51
Harsh077777,244,92,134,18,1410.936,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,423000,126,71,53,32,28,28,25,0,32,30,1,0,8,36,7,0,0,4,0,7,0,3,0,20,11,1,0,9,2,1,3,0,7,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,69,204,1,1,0,0,120,40
